symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2025-02-04 00:27:00+00:00,238.75,238.75,238.75,238.75,1102.0,17.0,238.75
AMZN,2025-02-04 00:28:00+00:00,238.72,238.72,238.72,238.72,353.0,27.0,238.72
AMZN,2025-02-04 00:29:00+00:00,238.8,238.8,238.8,238.8,288.0,15.0,238.8
AMZN,2025-02-04 00:34:00+00:00,238.6134,238.6134,238.6134,238.6134,172.0,25.0,238.6134
AMZN,2025-02-04 00:36:00+00:00,238.9788,238.9788,238.9788,238.9788,223.0,19.0,238.9788
AMZN,2025-02-04 00:37:00+00:00,238.98,238.98,238.98,238.98,494.0,20.0,238.98
AMZN,2025-02-04 00:40:00+00:00,238.96,238.97,238.96,238.97,967.0,20.0,238.968889
AMZN,2025-02-04 00:42:00+00:00,238.9,238.9,238.9,238.9,197.0,11.0,238.9
AMZN,2025-02-04 00:43:00+00:00,238.96,238.9882,238.96,238.9882,246.0,13.0,238.9741
AMZN,2025-02-04 00:44:00+00:00,238.9889,238.99,238.9889,238.99,1148.0,23.0,238.989
AMZN,2025-02-04 00:45:00+00:00,238.95,238.95,238.9,238.9,1293.0,19.0,238.904554
AMZN,2025-02-04 00:46:00+00:00,238.88,238.88,238.88,238.88,211.0,18.0,238.88
AMZN,2025-02-04 00:47:00+00:00,238.98,238.98,238.98,238.98,235.0,20.0,238.98
AMZN,2025-02-04 00:48:00+00:00,238.95,238.95,238.95,238.95,489.0,27.0,238.95
AMZN,2025-02-04 00:49:00+00:00,238.82,238.82,238.82,238.82,529.0,32.0,238.82
AMZN,2025-02-04 00:51:00+00:00,238.9,238.9,238.9,238.9,229.0,14.0,238.9
AMZN,2025-02-04 00:52:00+00:00,238.7886,238.81,238.7886,238.81,643.0,15.0,238.801376
AMZN,2025-02-04 00:53:00+00:00,238.8,238.867,238.8,238.867,1894.0,28.0,238.812127
AMZN,2025-02-04 00:54:00+00:00,238.75,238.8696,238.75,238.8696,721.0,28.0,238.801775
AMZN,2025-02-04 00:56:00+00:00,238.87,238.87,238.87,238.87,300.0,19.0,238.87
AMZN,2025-02-04 00:57:00+00:00,238.7825,238.7825,238.7825,238.7825,385.0,34.0,238.7825
AMZN,2025-02-04 00:58:00+00:00,238.9,238.9,238.9,238.9,414.0,26.0,238.9
AMZN,2025-02-04 00:59:00+00:00,238.99,238.99,238.93,238.99,1596.0,41.0,238.981588
AMZN,2025-02-04 09:00:00+00:00,237.98,237.98,236.82,236.83,1589.0,104.0,237.413824
AMZN,2025-02-04 09:02:00+00:00,237.12,237.12,237.12,237.12,944.0,72.0,237.12
AMZN,2025-02-04 09:04:00+00:00,237.01,237.08,237.0,237.08,1899.0,59.0,237.034511
AMZN,2025-02-04 09:05:00+00:00,237.14,237.14,237.14,237.14,347.0,23.0,237.14
AMZN,2025-02-04 09:06:00+00:00,237.14,237.29,237.11,237.29,4478.0,38.0,237.196514
AMZN,2025-02-04 09:07:00+00:00,237.2,237.2,237.2,237.2,454.0,17.0,237.2
AMZN,2025-02-04 09:08:00+00:00,237.09,237.09,237.02,237.02,799.0,20.0,237.057717
AMZN,2025-02-04 09:09:00+00:00,237.06,237.06,237.06,237.06,310.0,9.0,237.06
AMZN,2025-02-04 09:10:00+00:00,237.18,237.18,237.11,237.11,513.0,12.0,237.15646
AMZN,2025-02-04 09:11:00+00:00,237.26,237.27,237.23,237.27,1540.0,18.0,237.241273
AMZN,2025-02-04 09:12:00+00:00,237.32,237.32,237.32,237.32,830.0,41.0,237.32
AMZN,2025-02-04 09:13:00+00:00,237.04,237.12,237.02,237.12,1245.0,48.0,237.043636
AMZN,2025-02-04 09:14:00+00:00,237.16,237.26,237.16,237.25,1143.0,15.0,237.241675
AMZN,2025-02-04 09:16:00+00:00,237.23,237.23,237.03,237.03,748.0,20.0,237.096157
AMZN,2025-02-04 09:18:00+00:00,237.28,237.3,237.27,237.3,820.0,25.0,237.288263
AMZN,2025-02-04 09:19:00+00:00,237.24,237.24,237.12,237.12,388.0,14.0,237.18
AMZN,2025-02-04 09:20:00+00:00,237.27,237.64,237.27,237.64,2591.0,56.0,237.420909
AMZN,2025-02-04 09:23:00+00:00,237.26,237.34,237.26,237.34,1136.0,34.0,237.273699
AMZN,2025-02-04 09:24:00+00:00,237.25,237.25,237.25,237.25,407.0,6.0,237.25
AMZN,2025-02-04 09:27:00+00:00,237.28,237.28,237.18,237.18,1081.0,23.0,237.210996
AMZN,2025-02-04 09:28:00+00:00,237.24,237.35,237.2,237.2,1344.0,21.0,237.242553
AMZN,2025-02-04 09:29:00+00:00,237.41,237.45,237.41,237.45,1327.0,24.0,237.44098
AMZN,2025-02-04 09:31:00+00:00,237.45,237.45,237.3,237.3,707.0,18.0,237.36139
AMZN,2025-02-04 09:38:00+00:00,237.26,237.26,237.26,237.26,379.0,7.0,237.26
AMZN,2025-02-04 09:39:00+00:00,237.12,237.12,237.12,237.12,344.0,16.0,237.12
AMZN,2025-02-04 09:40:00+00:00,237.12,237.12,237.1,237.1,1316.0,47.0,237.106676
AMZN,2025-02-04 09:42:00+00:00,237.05,237.05,237.0,237.0,645.0,22.0,237.027094
AMZN,2025-02-04 09:47:00+00:00,237.27,237.27,237.2,237.2,939.0,32.0,237.223274
AMZN,2025-02-04 09:54:00+00:00,237.17,237.17,237.17,237.17,401.0,5.0,237.17
AMZN,2025-02-04 10:00:00+00:00,237.01,237.01,237.0,237.0,9759.0,49.0,237.000277
AMZN,2025-02-04 10:01:00+00:00,237.12,237.12,237.12,237.12,202.0,4.0,237.12
AMZN,2025-02-04 10:03:00+00:00,237.02,237.02,237.02,237.02,727.0,24.0,237.02
AMZN,2025-02-04 10:04:00+00:00,237.15,237.15,237.15,237.15,235.0,12.0,237.15
AMZN,2025-02-04 10:06:00+00:00,237.14,237.14,237.14,237.14,208.0,8.0,237.14
AMZN,2025-02-04 10:10:00+00:00,237.16,237.2,237.16,237.2,228.0,4.0,237.18018
AMZN,2025-02-04 10:11:00+00:00,237.12,237.12,237.12,237.12,210.0,6.0,237.12
AMZN,2025-02-04 10:20:00+00:00,237.3,237.3,237.3,237.3,125.0,6.0,237.3
AMZN,2025-02-04 10:22:00+00:00,237.29,237.29,237.29,237.29,202.0,7.0,237.29
AMZN,2025-02-04 10:29:00+00:00,237.18,237.19,237.18,237.18,808.0,13.0,237.183846
AMZN,2025-02-04 10:30:00+00:00,237.12,237.12,237.12,237.12,130.0,4.0,237.12
AMZN,2025-02-04 10:33:00+00:00,237.13,237.13,237.13,237.13,1101.0,44.0,237.13
AMZN,2025-02-04 10:34:00+00:00,237.11,237.11,237.11,237.11,172.0,15.0,237.11
AMZN,2025-02-04 10:43:00+00:00,237.11,237.21,237.07,237.2,3464.0,27.0,237.152317
AMZN,2025-02-04 10:46:00+00:00,237.21,237.21,237.2,237.2,3075.0,30.0,237.204833
AMZN,2025-02-04 10:49:00+00:00,237.28,237.29,237.28,237.29,530.0,7.0,237.285
AMZN,2025-02-04 10:53:00+00:00,237.28,237.29,237.28,237.29,681.0,20.0,237.285526
AMZN,2025-02-04 10:55:00+00:00,237.3,237.3,237.3,237.3,429.0,13.0,237.3
AMZN,2025-02-04 10:57:00+00:00,237.33,237.33,237.33,237.33,649.0,21.0,237.33
AMZN,2025-02-04 11:00:00+00:00,237.29,237.29,237.29,237.29,203.0,16.0,237.29
